FEDID, AMCNUM, GEBID, REGION, STATION, LAYER, CHAMBERSEC, VFATVER
1472,2,2,1,1,1,1,3
1472,2,3,1,1,2,1,3
1472,2,4,1,1,1,3,3
1472,2,5,1,1,2,3,3
1472,2,6,1,1,1,5,3
1472,2,7,1,1,2,5,3
1472,2,8,1,1,1,7,3
1472,2,9,1,1,2,7,3
1472,2,10,1,1,1,9,3
1472,2,11,1,1,2,9,3
1472,4,2,1,1,1,11,3
1472,4,3,1,1,2,11,3
1472,4,4,1,1,1,13,3
1472,4,5,1,1,2,13,3
1472,4,6,1,1,1,15,3
1472,4,7,1,1,2,15,3
1472,4,8,1,1,1,17,3
1472,4,9,1,1,2,17,3
1472,4,10,1,1,1,19,3
1472,4,11,1,1,2,19,3
1472,6,2,1,1,1,21,3
1472,6,3,1,1,2,21,3
1472,6,4,1,1,1,23,3
1472,6,5,1,1,2,23,3
1472,6,6,1,1,1,25,3
1472,6,7,1,1,2,25,3
1472,6,8,1,1,1,27,3
1472,6,9,1,1,2,27,3
1472,6,10,1,1,1,29,3
1472,6,11,1,1,2,29,3
